球隊名稱,星期,時間,球館,地址,強度,場地數,收費(男),收費(女),用球,最後更新日期,備註
Monday,一,1900-2100,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
台中李寧,一,1900-2100,傳羽運動館,408台中市南屯區永春東三路477號,,,,,,,
成人羽訓,一,1900-2100,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
羽世無爭,一,1900-2100,福慧羽球館,411台中市太平區中山路二段541巷33-1號,1-3,2,150,120,RSL4或同等級,2020/7/2,
羽線魔手,一,1900-2100,台中二中,404台中市北區英士路109號,,,,,,,
深呼吸,一,1900-2100,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
台中大餅羽球學院,一,1900-2200,洲際羽球館,427台中市潭子區崇德路五段435號,,,200,150,,2020/3/2,"有學習組與打球組
 學習組二至三個場地，七點至八點有教練免費教學。八點至十點自由對打。
 打球組三至四個場地，有專業教練與各種程度的對手對打。"
台客羽球二隊,一,1900-2200,黎明羽球館,408台中市南屯區黎明路二段658號,,,,,,,
米洛,一,1900-2200,北區國民運動中心,404台中市北區崇德路一段55號,,,,,,,
呼風喚羽,一,1900-2200,大智羽球館,401台中市東區大振街33號,,,,,,,
運哥,一,1900-2200,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
楓和,一,1930-2200,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
虎蝶一起飛,一,1930-2230,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
Pro,一,2000-0000,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
打了才知道,一,2000-2200,永安羽球館,,1-4,依人數,200,180,RSL4,2020/7/2,
OMG,一,2000-2200,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
女神,一,2000-2200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
日新,一,2000-2200,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
羽滴,一,2000-2200,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
逗陣羽球團,一,2000-2200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
積力,一,2000-2200,中科活力羽球館,407台中市西屯區中科路1719號,,,,,,,
啼專,一,2000-2220,大都會崇德館,406台中市北屯區崇德九路607號,,,,,,,
MQT,一,2000-2230,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
METAL,一,2000-2300,新光羽球俱樂部,406台中市太平區樹德五街15號,,,,,,,
大翔,一,2000-2300,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
加百列羽球笑隊,一,2000-2300,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
永成,一,2000-2300,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
南瓜,一,2000-2300,台體,404台中市北區雙十路一段16號,,,,,,,
星辰,一,2000-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
飛象羽球隊,一,2000-2300,蓋強環中館,408台中市南屯區環中路四段305之1號,2-4,,220,180,,2020/7/3,月繳男生700，女生/學生600
磐石,一,2000-2300,磐石羽球運動會館,412台中市大里區中山路330號,,,,,,,
花漾,一,2130-2330,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
清晨,二,0630-0950,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
凱迪,二,0630-1000,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
朝陽,二,0700-0900,新福羽球館,406台中市太平區新福路266號,,,,,,,
早安,二,0700-0930,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
大智,二,0700-1000,大智羽球館,401台中市東區大振街33號,,,,,,,
晨光,二,0730-1000,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
活力,二,0800-1200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
賴興里晨間羽球隊,二,0830-1100,賴興里活動中心,404台中市北區山西路二段125號,,,80,80,,2020/7/3,
GXS早安,二,0900-1200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
大新,二,0900-1200,大新活動中心三樓,412台中市大里區新興路99巷16弄56號,,,,,,,
日光,二,0900-1200,洲際羽球館,427台中市潭子區崇德路五段435號,,,,,,,
貓腳印,二,0900-1200,大智羽球館,401台中市東區大振街33號,,,160,150,,2020/7/2,婉拒新手
羽你同樂,二,0900-1200,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
羽樂,二,0900-1200,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
快樂,二,0900-1200,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
南屯羽球笑隊,二,0900-1200,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
樂活,二,0900-1200,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
